,Name,Type,County,Population,Land Area miles2,Address,Indicator,Latitude,Longitude
404,Selma,City,Fresno,23219,5.14,"Selma, California",0.0,36.5707838,-119.6120765
405,Shafter,City,Kern,16988,27.94,"Shafter, California",0.0,35.5005139,-119.2717761
406,Shasta Lake,City,Shasta,10164,10.92,"Shasta Lake, California",0.0,40.6799638,-122.3626507
407,Sierra Madre,City,Los Angeles,10917,2.95,"Sierra Madre, California",0.0,34.1616729,-118.0528456
408,Signal Hill,City,Los Angeles,11016,2.19,"Signal Hill, California",0.0,33.804826,-118.168259
410,Solana Beach,City,San Diego,12867,3.52,"Solana Beach, California",0.0,32.9905597,-117.2691316
411,Soledad,City,Monterey,25738,4.41,"Soledad, California",0.0,36.4269452,-121.3272147
412,Solvang,City,Santa Barbara,5245,2.43,"Solvang, California",0.0,34.5958572,-120.1390894
413,Sonoma,City,Sonoma,10648,2.74,"Sonoma, California",0.0,38.5110803,-122.8473388
414,Sonora,City,Tuolumne,4903,3.06,"Sonora, California",0.0,37.9840911,-120.3821381
415,South El Monte,City,Los Angeles,20116,2.84,"South El Monte, California",0.0,34.0519548,-118.0467339
416,South Gate,City,Los Angeles,94396,7.24,"South Gate, California",0.0,33.9463456,-118.200981
417,South Lake Tahoe,City,El Dorado,21403,10.16,"South Lake Tahoe, California",0.0,38.9332411,-119.9843482
418,South Pasadena,City,Los Angeles,25619,3.41,"South Pasadena, California",0.0,34.1133062,-118.1478291
420,Stanton,City,Orange,38186,3.15,"Stanton, California",0.0,33.79410005,-117.99510059728792
422,Suisun City,City,Solano,28111,4.11,"Suisun City, California",0.0,38.2382474,-122.040244
424,Susanville,City,Lassen,17947,7.93,"Susanville, California",0.0,40.4162842,-120.6530063
425,Sutter Creek,City,Amador,2501,2.56,"Sutter Creek, California",0.0,38.3929675,-120.8024357
426,Taft,City,Kern,9327,15.11,"Taft, California",0.0,35.1424671,-119.4565078
427,Tehachapi,City,Kern,14414,9.87,"Tehachapi, California",0.0,35.1321878,-118.4489739
428,Tehama,City,Tehama,418,0.79,"Tehama, California",0.0,40.1251334,-122.2015529
430,Temple City,City,Los Angeles,35558,4.01,"Temple City, California",0.0,34.1082994,-118.0577568
432,Tiburon,Town,Marin,8962,4.43,"Tiburon, California",0.0,37.8734371,-122.4566122
434,Tracy,City,San Joaquin,82922,22.0,"Tracy, California",0.0,37.7396513,-121.4252227
435,Trinidad,City,Humboldt,367,0.48,"Trinidad, California",0.0,41.059291,-124.143125
436,Truckee,Town,Nevada,16180,32.32,"Truckee, California",0.0,39.327962,-120.1832533
437,Tulare,City,Tulare,59278,20.93,"Tulare, California",0.0,36.2516475,-118.852583
438,Tulelake,City,Siskiyou,1010,0.41,"Tulelake, California",0.0,41.955989,-121.477492
439,Turlock,City,Stanislaus,68549,16.93,"Turlock, California",0.0,37.4946568,-120.8465941
441,Twentynine Palms,City,San Bernardino,25048,59.14,"Twentynine Palms, California",0.0,34.1356915,-116.0543506
442,Ukiah,City,Mendocino,16075,4.67,"Ukiah, California",0.0,39.1501662,-123.2077861
443,Union City,City,Alameda,69516,19.47,"Union City, California",0.0,37.5963232,-122.0816297
444,Upland,City,San Bernardino,73732,15.62,"Upland, California",0.0,34.09751,-117.6483876
445,Vacaville,City,Solano,92428,28.37,"Vacaville, California",0.0,38.3565773,-121.9877444
446,Vallejo,City,Solano,115942,30.67,"Vallejo, California",0.0,38.1040864,-122.2566367
448,Vernon,City,Los Angeles,112,4.97,"Vernon, California",0.0,34.007135,-118.22525
